import time: self [us] | cumulative | imported package
import time:       627 |        815 |                                 platform
import time:        81 |         81 |                                 _uuid
import time:       509 |       1404 |                               uuid
import time:       417 |        417 |                                                   django.template.context
import time:       178 |        178 |                                                       django.utils.dates
import time:       477 |        477 |                                                             sysconfig
import time:       616 |        616 |                                                             _sysconfigdata__x86_64-linux-gnu
import time:       760 |       1851 |                                                           zoneinfo._tzpath
import time:       205 |        205 |                                                           zoneinfo._common
import time:       291 |        291 |                                                           _zoneinfo
import time:       239 |       2585 |                                                         zoneinfo
import time:       236 |       2820 |                                                       django.utils.timezone
import time:       340 |       3338 |                                                     django.utils.dateformat
import time:       303 |        303 |                                                       django.utils.safestring
import time:       207 |        510 |                                                     django.utils.numberformat
import time:       449 |       4296 |                                                   django.utils.formats
import time:       643 |        643 |                                                       _markupbase
import time:      1509 |       2152 |                                                     html.parser
import time:       488 |        488 |                                                       gzip
import time:      1360 |       1847 |                                                     django.utils.text
import time:       931 |       4929 |                                                   django.utils.html
import time:       185 |        185 |                                                   django.template.exceptions
import time:       913 |      10738 |                                                 django.template.base
import time:       396 |        396 |                                                 django.template.library
import time:       301 |      11434 |                                               django.template.engine
import time:       214 |        214 |                                               django.template.utils
import time:       119 |        119 |                                                   django.template.backends
import time:       277 |        277 |                                                     django.core.checks.messages
import time:       199 |        199 |                                                     django.core.checks.registry
import time:       221 |        221 |                                                     django.core.checks.async_checks
import time:       181 |        181 |                                                           django.core.cache.backends
import time:       386 |        566 |                                                         django.core.cache.backends.base
import time:       225 |        791 |                                                       django.core.cache
import time:       380 |        380 |                                                         glob
import time:       322 |        322 |                                                           _compat_pickle
import time:       848 |        848 |                                                           _pickle
import time:      1109 |       2279 |                                                         pickle
import time:       203 |        203 |                                                         django.core.files.locks
import time:       152 |        152 |                                                         django.core.files.move
import time:       473 |       3484 |                                                       django.core.cache.backends.filebased
import time:       315 |       4588 |                                                     django.core.checks.caches
import time:       140 |        140 |                                                       django.core.checks.compatibility
import time:       265 |        404 |                                                     django.core.checks.compatibility.django_4_0
import time:       198 |        198 |                                                     django.core.checks.database
import time:       174 |        174 |                                                     django.core.checks.files
import time:       272 |        272 |                                                     django.core.checks.model_checks
import time:       129 |        129 |                                                       django.core.checks.security
import time:       631 |        760 |                                                     django.core.checks.security.base
import time:       241 |        241 |                                                     django.core.checks.security.csrf
import time:       229 |        229 |                                                     django.core.checks.security.sessions
import time:       179 |        179 |                                                     django.core.checks.templates
import time:       890 |        890 |                                                         gettext
import time:       279 |        279 |                                                         django.conf.locale
import time:       635 |       1803 |                                                       django.utils.translation.trans_real
import time:       276 |       2078 |                                                     django.core.checks.translation
import time:       281 |        281 |                                                     django.core.checks.urls
import time:       371 |      10467 |                                                   django.core.checks
import time:       145 |        145 |                                                     django.utils._os
import time:       206 |        350 |                                                   django.template.backends.base
import time:       340 |      11275 |                                                 django.template.backends.django
import time:       228 |      11503 |                                               django.template.autoreload
import time:       207 |      23357 |                                             django.template
import time:        28 |      23384 |                                           django.template.backends
import time:        26 |      23409 |                                         django.template.backends.django
import time:       161 |        161 |                                         django.template.loader
import time:       358 |      23927 |                                       django.forms.renderers
import time:       522 |      24449 |                                     django.forms.utils
import time:       309 |        309 |                                       graphlib
import time:       184 |        184 |                                         django.templatetags
import time:       384 |        568 |                                       django.templatetags.static
import time:       252 |        252 |                                       django.utils.choices
import time:      1329 |       2456 |                                     django.forms.widgets
import time:       456 |      27360 |                                   django.forms.boundfield
import time:       266 |        266 |                                       django.utils.deconstruct
import time:       198 |        198 |                                       django.utils.ipv6
import time:      1406 |       1869 |                                     django.core.validators
import time:       253 |        253 |                                     django.utils.dateparse
import time:       190 |        190 |                                     django.utils.duration
import time:      1554 |       3865 |                                   django.forms.fields
