import time: self [us] | cumulative | imported package
import time:       308 |        308 |                                                 sqlparse.filters.right_margin
import time:       457 |        457 |                                                 sqlparse.filters.aligned_indent
import time:       474 |       2980 |                                               sqlparse.filters
import time:       416 |       5314 |                                             sqlparse.engine.filter_stack
import time:       420 |       6439 |                                           sqlparse.engine
import time:       324 |        324 |                                           sqlparse.formatter
import time:       686 |      14266 |                                         sqlparse
import time:       566 |        566 |                                         django.db.backends.utils
import time:       913 |      16325 |                                       django.db.backends.base.operations
import time:      4557 |      20882 |                                     django.db.models.lookups
import time:       919 |        919 |                                     django.db.models.fields.mixins
import time:      4406 |      26206 |                                   django.db.models.fields.json
import time:       857 |      27063 |                                 django.db.models.functions.comparison
import time:      2450 |       2450 |                                 django.db.models.functions.datetime
import time:       498 |        498 |                                   django.db.models.functions.mixins
import time:      1550 |       2047 |                                 django.db.models.functions.math
import time:      1914 |       1914 |                                 django.db.models.functions.text
import time:       870 |        870 |                                 django.db.models.functions.window
import time:       557 |      34899 |                               django.db.models.functions
import time:        55 |      34954 |                             django.db.models.functions.comparison
import time:       834 |     126382 |                           django.db.models.aggregates
import time:      3232 |       3232 |                                   difflib
import time:      1521 |       1521 |                                   django.db.models.fields.related_lookups
import time:       682 |        682 |                                   django.db.models.sql.constants
import time:       987 |        987 |                                   django.db.models.sql.datastructures
import time:      1157 |       1157 |                                   django.db.models.sql.where
import time:      2985 |      10562 |                                 django.db.models.sql.query
import time:       668 |        668 |                                 django.db.models.sql.subqueries
import time:       356 |      11585 |                               django.db.models.sql
import time:       511 |      12095 |                             django.db.models.indexes
import time:      1160 |      13254 |                           django.db.models.constraints
import time:       813 |        813 |                           django.db.models.deletion
import time:       331 |        331 |                             django.core.files.images
import time:       500 |        500 |                               django.core.files.storage.base
import time:       262 |        262 |                                 django.core.files.storage.mixins
import time:       689 |        950 |                               django.core.files.storage.filesystem
import time:       486 |        486 |                               django.core.files.storage.handler
import time:       883 |        883 |                               django.core.files.storage.memory
import time:       498 |       3316 |                             django.core.files.storage
import time:      1061 |       4706 |                           django.db.models.fields.files
import time:       536 |        536 |                           django.db.models.fields.generated
import time:       318 |        318 |                           django.db.models.fields.proxy
import time:      3575 |       3575 |                             django.db.models.query
import time:      1403 |       4978 |                           django.db.models.manager
import time:      3968 |       3968 |                               django.db.models.fields.related_descriptors
import time:       705 |        705 |                               django.db.models.fields.reverse_related
import time:      1941 |       6613 |                             django.db.models.fields.related
import time:       898 |        898 |                             django.db.models.options
import time:      1989 |       9498 |                           django.db.models.base
import time:       738 |     162040 |                         django.db.models
import time:      1155 |     163195 |                       django.core.serializers.base
import time:       862 |     164056 |                     django.core.serializers
import time:       411 |        411 |                     django.core.serializers.python
import time:       512 |     164979 |                   django.core.serializers.json
import time:      1589 |     177756 |                 django.http.response
import time:       444 |     221657 |               django.http
import time:       388 |     222044 |             django.urls.exceptions
import time:       590 |        590 |               django.urls.converters
import time:       538 |        538 |               django.urls.utils
import time:      1822 |       2950 |             django.urls.resolvers
import time:      1108 |     234505 |           django.urls.base
import time:       701 |        701 |           django.urls.conf
import time:       484 |     235689 |         django.urls
import time:      2245 |       2245 |             logging.handlers
import time:      2478 |       2478 |             socketserver
import time:      4118 |       8840 |           logging.config
import time:      1599 |       1599 |               email.generator
import time:      8539 |       8539 |                 email._header_value_parser
import time:      2295 |      10833 |               email.headerregistry
import time:       669 |        669 |                 email.mime
import time:       723 |        723 |                   email.contentmanager
import time:      1006 |       1728 |                 email.policy
import time:       850 |       3247 |               email.mime.base
import time:       321 |        321 |                 email.mime.nonmultipart
import time:       447 |        768 |               email.mime.message
import time:       487 |        487 |               email.mime.multipart
import time:       482 |        482 |               email.mime.text
import time:       461 |        461 |               django.core.mail.utils
import time:      1669 |      19542 |             django.core.mail.message
import time:       641 |      20182 |           django.core.mail
import time:       642 |        642 |                   django.utils.termcolors
import time:       276 |        276 |                   colorama
import time:       879 |       1796 |                 django.core.management.color
import time:      1924 |       3719 |               django.core.management.base
import time:       908 |       4626 |             django.core.management
import time:        75 |       4701 |           django.core.management.color
import time:      1234 |      34956 |         django.utils.log
import time:       691 |        691 |                   django.template.response
import time:       551 |        551 |                   django.utils.decorators
import time:      1109 |       2351 |                 django.views.generic.base
import time:       694 |        694 |                   django.views.generic.detail
import time:      1308 |       1308 |                     django.core.paginator
import time:       907 |       2215 |                   django.views.generic.list
import time:      2528 |       5436 |                 django.views.generic.dates
import time:      1371 |       1371 |                 django.views.generic.edit
import time:       692 |       9848 |               django.views.generic
import time:        76 |       9923 |             django.views.generic.base
import time:       401 |      10324 |           django.views
import time:      2075 |       2075 |                 dataclasses
import time:      1816 |       3890 |               pprint
import time:      2184 |       2184 |               django.utils.timesince
import time:      2244 |       8317 |             django.template.defaultfilters
import time:       457 |        457 |               django.views.decorators
import time:       566 |       1023 |             django.views.decorators.debug
import time:       412 |        412 |               django.utils.lorem_ipsum
import time:       717 |        717 |               django.template.smartif
import time:      2097 |       3224 |             django.template.defaulttags
import time:      4355 |      16918 |           django.views.debug
import time:       589 |      27830 |         django.core.handlers.exception
import time:       685 |     303788 |       django.core.handlers.base
import time:      1513 |     445508 |     django.core.handlers.wsgi
import time:      1065 |     518571 |   django.core.wsgi
import time:      4253 |       4253 |       dotenv.parser
import time:      1318 |       1318 |       dotenv.variables
import time:      3874 |       9444 |     dotenv.main
import time:       497 |       9941 |   dotenv
import time:      1068 |       1068 |   dj_database_url
import time:       414 |        414 |   django.contrib.admin.decorators
import time:      1114 |       1114 |     django.contrib.admin.exceptions
import time:       222 |        222 |           django.contrib.messages.constants
import time:       443 |        443 |           django.contrib.messages.storage
import time:       568 |       1232 |         django.contrib.messages.api
import time:       356 |        356 |           django.contrib.messages.utils
import time:      1226 |       1581 |         django.contrib.messages.storage.base
import time:       448 |       3260 |       django.contrib.messages
import time:      1346 |       1346 |         django.contrib.admin.utils
import time:      2071 |       3417 |       django.contrib.admin.helpers
import time:      2884 |       2884 |       django.contrib.admin.widgets
import time:      1702 |       1702 |       django.contrib.admin.checks
import time:       554 |        554 |         django.contrib.admin.templatetags
import time:      1174 |       1728 |       django.contrib.admin.templatetags.admin_urls
import time:       402 |        402 |           django.middleware
import time:       777 |        777 |           django.utils.cache
import time:      1715 |       2892 |         django.middleware.csrf
import time:       618 |        618 |         django.contrib.auth.signals
import time:      1200 |       4709 |       django.contrib.auth
import time:       590 |        590 |       django.views.decorators.csrf
import time:      3916 |      22204 |     django.contrib.admin.options
import time:      1759 |      25075 |   django.contrib.admin.filters
import time:       988 |        988 |     django.contrib.admin.actions
import time:       434 |        434 |       django.contrib.admin.views
import time:       816 |       1250 |     django.contrib.admin.views.autocomplete
import time:       479 |        479 |       django.shortcuts
import time:       559 |       1038 |     django.contrib.auth.decorators
import time:       697 |        697 |       django.middleware.cache
import time:       472 |       1169 |     django.views.decorators.cache
import time:       365 |        365 |     django.views.decorators.common
import time:       777 |        777 |     django.views.i18n
import time:      1835 |       7419 |   django.contrib.admin.sites
import time:       554 |        554 |       getpass
import time:       403 |        403 |         django.contrib.contenttypes
import time:      1242 |       1242 |             django.db.migrations.utils
import time:       852 |        852 |             django.db.migrations.exceptions
import time:       863 |       2956 |           django.db.migrations.migration
import time:      1020 |       1020 |               django.db.migrations.operations.base
import time:      1135 |       2154 |             django.db.migrations.operations.fields
import time:      1686 |       1686 |               django.db.migrations.state
import time:      2439 |       4124 |             django.db.migrations.operations.models
import time:       739 |        739 |             django.db.migrations.operations.special
import time:       657 |       7673 |           django.db.migrations.operations
import time:       449 |      11078 |         django.db.migrations
import time:       890 |      12370 |       django.contrib.contenttypes.management
import time:       657 |      13580 |     django.contrib.auth.management
import time:       583 |      14163 |   django.contrib.auth.checks
import time:       380 |        380 |   django.contrib.contenttypes.checks
import time:       387 |        387 |       django.contrib.staticfiles.utils
import time:      1319 |       1706 |     django.contrib.staticfiles.finders
import time:       457 |       2163 |   django.contrib.staticfiles.checks
import time:      2355 |       2355 |   django.contrib.contenttypes.models
import time:      1031 |       1031 |     django.contrib.auth.password_validation
import time:      3788 |       3788 |     django.contrib.auth.hashers
import time:       435 |        435 |       django.db.backends.base.validation
import time:       354 |        354 |       django.db.backends.signals
import time:       373 |        373 |       django.utils.asyncio
import time:      1692 |       2852 |     django.db.backends.base.base
import time:       509 |        509 |         __future__
import time:      5317 |       5317 |           psycopg.pq._enums
import time:      4662 |       4662 |             typing_extensions
import time:       602 |       5263 |           psycopg._compat
import time:      1983 |      12562 |         psycopg.pq.abc
import time:      1454 |       1454 |               _ctypes
import time:       929 |        929 |               ctypes._endian
import time:      2588 |       4971 |             ctypes
import time:       716 |       5686 |           ctypes.util
import time:      8660 |      14345 |         psycopg.pq.misc
import time:       343 |        343 |         psycopg_c
import time:       239 |        239 |         psycopg_binary
import time:     16342 |      16342 |             psycopg.errors
import time:     51290 |      67631 |           psycopg.pq._pq_ctypes
import time:      1169 |       1169 |           psycopg._encodings
import time:      2900 |      71699 |         psycopg.pq.pq_ctypes
import time:      1270 |     100965 |       psycopg.pq
import time:       397 |        397 |         psycopg._oids
import time:      1795 |       1795 |           psycopg._enums
import time:      2725 |       4520 |         psycopg.abc
import time:       394 |        394 |                   psycopg._cmodule
import time:      1557 |       1557 |                     psycopg.rows
import time:       930 |       2486 |                   psycopg._py_transformer
import time:      1154 |       4034 |                 psycopg._transformer
import time:      1134 |       5167 |               psycopg.sql
import time:       640 |        640 |               psycopg._typemod
import time:      1356 |       7162 |             psycopg._typeinfo
import time:       947 |       8108 |           psycopg.types
import time:       648 |        648 |             psycopg._adapters_map
import time:       970 |       1617 |           psycopg.adapt
import time:      2791 |      12516 |         psycopg.types.string
import time:      1167 |      18598 |       psycopg.dbapi20
import time:       688 |        688 |       psycopg.postgres
import time:      3976 |       3976 |       psycopg._tpc
import time:       675 |        675 |           psycopg._acompat
import time:       711 |        711 |               psycopg.waiting
import time:       751 |       1462 |             psycopg.generators
import time:      1633 |       3095 |           psycopg._copy_base
import time:      3665 |       7434 |         psycopg._copy
import time:      1224 |       1224 |         psycopg._copy_async
import time:      1129 |       9786 |       psycopg.copy
import time:       558 |        558 |           psycopg._capabilities
import time:      1058 |       1616 |         psycopg._pipeline
import time:       761 |        761 |           psycopg._column
import time:      3114 |       3114 |           psycopg._queries
import time:      1699 |       1699 |           psycopg._preparing
import time:      1789 |       7362 |         psycopg._cursor_base
import time:      1293 |      10270 |       psycopg.cursor
import time:       202 |        202 |             _csv
import time:      1138 |       1340 |           csv
import time:       460 |        460 |               zipfile._path.glob
import time:      1212 |       1671 |             zipfile._path
import time:      3173 |       4843 |           zipfile
import time:       372 |        372 |               importlib.metadata._functools
import time:       477 |        848 |             importlib.metadata._text
import time:       845 |       1693 |           importlib.metadata._adapters
import time:      1685 |       1685 |           importlib.metadata._meta
import time:       954 |        954 |           importlib.metadata._collections
import time:       618 |        618 |           importlib.metadata._itertools
import time:      1165 |       1165 |                 importlib.resources.abc
import time:      1046 |       1046 |                 importlib.resources._adapters
import time:      1282 |       3491 |               importlib.resources._common
import time:      1033 |       1033 |               importlib.resources._legacy
import time:       579 |       5102 |             importlib.resources
import time:      1442 |       6543 |           importlib.abc
import time:      3970 |      21642 |         importlib.metadata
import time:      5130 |      26771 |       psycopg.version
import time:      1759 |       1759 |             psycopg._conninfo_utils
import time:       519 |       2277 |           psycopg._conninfo_attempts
import time:       461 |        461 |           psycopg._conninfo_attempts_async
import time:      1005 |       3742 |         psycopg.conninfo
import time:      1364 |       1364 |         psycopg.transaction
import time:      1002 |       1002 |           psycopg.cursor_async
import time:      1823 |       2824 |         psycopg.server_cursor
